"Name","ID","Libros"
"Laura Oriato","00000000-0000-0000-0000-000000000001","[""9dcafd93-4408-44b3-b3c0-e7a0c26b9d03"",""05d39169-b80e-4764-904e-93298bdd7b7b""]"
"Daniel Moyano","00000000-0000-0000-0000-000000000002","[""5188857c-3df1-4a9c-bafe-c5a7a858ad1d""]"
"Diego Colomba","00000000-0000-0000-0000-000000000004","[""6730c1d7-0caf-44b7-953a-4ac4674d247e"",""145664a3-7141-4311-bdf8-69e43c5ae656""]"
"Laura Klatt","00000000-0000-0000-0000-000000000005",[]
"Carolina Musa","00000000-0000-0000-0000-000000000006","[""9145e843-cf03-4b5f-93a1-66242afcea75"",""bfad2c23-4985-48c1-998e-e051b8895a3c""]"
"Lisandro González","050862eb-d29d-4a82-ad5e-b3dbd1503e8c","[""7f2916f1-c246-43cc-90f4-d611c49c34d7""]"
"Agostina Iuorno","09bcad5f-6570-4ec6-a7f1-454191c3f452","[""6c4885f8-4b86-4a1f-af8e-ae4e3d324017""]"
"Lorena Méndez","1501de39-4574-43ae-a52f-0ae3ee7b7aae",[]
"Miguel Mazza","1557c239-f21e-4589-be4f-3c024928197d",[]
"Hernán Camoletto","17cf2f79-0e1c-46cc-9a13-4089cfb64797",[]
"Alicia Nakatsuka","19717415-339b-4e3b-8842-49dca1778e21","[""00b693be-7faf-442c-8097-5e0157504e80""]"
"Maia Morosano","1a608685-b8fd-4a91-8f90-5fe677eb54a8","[""2dbebc9d-30e3-44e6-9e78-bf298810df95""]"
"María José de Tellería","1e73be06-08c4-4430-9858-5dd8b05b0c81",[]
"Flopa","2aaf186e-d218-4e4a-b503-75a8cb595402",[]
"Paula Scaglione","2bfe6fc2-c7e6-46f5-ab90-2dac8e5373b0",[]
"Federico Tinivella","2f06dc6a-48e8-4d92-bb78-a5194bd7ade2","[""e4e860ec-4712-4a8d-886d-72c058411fee""]"
"AAVV","362d6160-5677-471b-a636-fc6c56b6871b","[""690f4f2f-4bde-4eba-9d79-f2ac234e280d""]"
"Martín Tranier","486b8d6a-a13e-4fd5-a67e-8f7d22b2ec62","[""2dbebc9d-30e3-44e6-9e78-bf298810df95""]"
"Lali Ruggeri","4d61e108-8acb-4462-a649-1ab2c7d190ea",[]
"Analía Giordanino","50314af9-2a2a-43d4-970b-43d990890755","[""37710305-66cb-4c53-b4dd-56a482e6af6b""]"
"Laura Rossi","55dfb44a-46d3-4222-afe8-a1f764b80226","[""0977daaf-ec80-41eb-aaf8-6cd36618577d""]"
"Rafael Urretabizkaya","5672a61c-c38a-4164-9f64-7559282e1cb5","[""eb67aa96-007b-4626-8831-d92813d704f9""]"
"Enrique Banchs","56f69e29-12ae-45c0-bd96-85dfadaf4dcc","[""9fa9b94d-d460-40f2-b2bd-eec8e9ffe82f""]"
"Manuela Colomba","59a89bbd-90c7-4976-8e99-06df9c48e6c3",[]
"Gonzalo Rimoldi","60a25fd8-0718-4f76-a774-7857cad8fef4",[]
"Rouse de Zavaleta","643c2eb8-ff45-40b0-ba20-95ff9b216a30",[]
"Max Cachimba","6e40a05c-ba7d-4eda-85d9-257b17aa6dde",[]
"Laura Vilche","70cdb0c5-e66a-4c07-9ead-bfaeaa1965c4","[""21c491e5-6691-4182-83e6-e9a157f86101"",""35bef3fc-329d-4e02-b2f2-d43fd977d98c""]"
"Virginia Luco","720f5ec5-dbc6-42ef-8c3b-a5e9ce7bcc94","[""bc68d229-746e-4e0a-be9d-9f2609d3420b""]"
"David Wapner","76f5f4f1-ed45-4201-b6aa-1e3f22b8c9b2","[""734a4e88-66ec-4d29-b405-529c82278769""]"
"María Victoria Rodríguez","78e27c1a-0764-4be7-a41f-056ffc0b487c",[]
"Cecilia Moscovich","7e7f0909-899f-4827-bab5-afececb47fc5","[""976ff8a3-b41e-45ac-adb9-a856570657d9""]"
"Tati Babini","802fffd2-6e7b-48d3-8bf9-2ddc5185f758",[]
"Claudio Bonarrigo","81075122-3939-4561-81d5-5d2dc8a1aa16",[]
"Luisa Futoransky","830d5410-9734-4f5b-bc84-e6b81333b5cf","[""7c7e6d26-eda0-45b7-b12b-d44749c4a449""]"
"Maricel Palomeque","83d8b04f-e3ef-4020-8031-2c7aee2f2d36","[""2bafae5b-4dda-4341-999b-daf8862c2f90""]"
"Martha Greiner","8487efab-efa4-4fd4-912f-efd8d83c2f39","[""e024739e-8f02-4e1c-b556-56039cebc42a""]"
"Nicolás Doffo","9ba4e43c-ba08-453a-80dc-e371dbe1e55e","[""e23a08dc-f21e-481c-b731-fbd1c36a0054""]"
"Pilar Moreno","9d311d87-bb23-43f1-beba-19749c63538a",[]
"Josefina Preumayr","b09a2658-6fd0-4fa4-9577-d6cf51c26428",[]
"Diego Rolle","b24a383f-9e0a-4277-b358-eab94ea4eb80",[]
"Silvina Rocha","bacdd470-454c-4c1d-b052-6161f21ac00d","[""f58a3687-e243-46a7-842c-02243fd548dc""]"
"Ciro Korol","c52b0da9-e148-4407-aa9c-237f8abd7414","[""f449f463-33b3-4c20-9155-089e87f6a60e""]"
"Cris Rosenberg","c966e179-b965-473e-bf12-e9876ee24bca","[""45a1bb0d-70fb-4787-9c1a-70b6f9265464""]"
"Beatriz Vignoli","cbff861c-b04f-4a29-884b-ea09d7e7bc17","[""f75de16b-1114-4b27-ad7e-d901c6a5fccb""]"
"Ozkar","d0020639-55dd-4e18-b01f-c6c38e10ff16",[]
"Cristian Molina","d8df609b-5afa-4849-be66-dba6517825cc","[""2fbbe8f8-7a6d-4790-84cf-b3f452959e8e""]"
"Nancy Bacelo","e022db8d-92d1-458c-b0af-bb361b63c134","[""fd2f6941-4964-442e-bb19-d89b44e28643""]"
"Paula Schenone","e0fa58cb-fe97-4d65-92fb-3f543696dd46",[]
"Gonzalo Ruzafa","e1322504-f908-4894-be28-ee0aaa9d6da4","[""8115a035-6bec-4061-aef5-74b65b1c9857""]"
"Meli Lovera","e2f6b397-537b-4643-ba5a-c13bf5c2a442",[]
"Malén Lecuona","e5172b45-a647-4c3d-9f94-2ae0b3eedf95",[]
"María Zeta","ec0058c4-b1e1-41ac-8e66-f55120ea69db","[""298e070b-93aa-41a5-a1aa-23f9f107d497""]"
"Verónica Laurino","ec8cb1fb-27f3-4146-9d10-767ac90cef97","[""4b1b814a-66be-4a54-89d3-432025963fa5"",""b012c88c-5bbc-4594-a68c-d6a98a6dcccd""]"
"Lila Gianelloni","ece5eeef-af4b-4a3b-a110-2fc60d2f31a9","[""34cfa228-7e37-4812-9f28-44ec4151ddbc""]"
"Virginia Giacosa","ef16bf34-6326-4190-b83b-a51a4233b506","[""bc68d229-746e-4e0a-be9d-9f2609d3420b""]"
"Horacio Cavallo","f22618c4-09d6-47b8-abc9-f356635a3042","[""ad57d572-d602-4359-b4e0-d7a0b7960ee7"",""5caaa7e6-8244-4816-a07e-64ae05ef9c1d""]"
"Marcelo Ajubita","f38a395b-07c8-4723-aa31-33cc5537dca8","[""427a5bc7-e428-44cb-a068-806144006a4a"",""6212e802-1508-4697-b7e9-c4f98c512bf5""]"
